run_id,seed,batch_size,lr,sequence_length,num_epochs,dataset_size,val_size,include_mixed,probs,best_epoch,checkpoint_path,main_val_loss,main_val_acc,main_val_auc,main_val_tn,main_val_fp,main_val_fn,main_val_tp,main_val_pred_irregular_rate,small_val_loss,small_val_acc,small_val_auc,small_val_tn,small_val_fp,small_val_fn,small_val_tp,small_val_pred_irregular_rate
bs64_lr0p0001_len512_seed42,42,64,0.0001,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",26,finetune/models/bs64_lr0p0001_len512_seed42.pth,0.49929479890316725,0.789,0.8590863835930673,1244,327,95,334,0.3305,0.3600986837744713,0.826,0.8978546116272388,377,17,70,36,0.106
bs64_lr0p0001_len1000_seed42,42,64,0.0001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",23,finetune/models/bs64_lr0p0001_len1000_seed42.pth,0.616474665015936,0.7855,0.43823585707735935,1571,0,429,0,0.0,0.6071201224327087,0.826,0.42448025381982135,413,0,87,0,0.0
bs64_lr0p0001_len2048_seed42,42,64,0.0001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",19,finetune/models/bs64_lr0p0001_len2048_seed42.pth,0.6272627723813057,0.7855,0.442794739739361,1571,0,429,0,0.0,0.6211183091402054,0.818,0.4004406351594616,409,0,91,0,0.0
bs64_lr0p0003_len512_seed42,42,64,0.0003,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs64_lr0p0003_len512_seed42.pth,0.2684404740628961,0.9005,0.9682488103875755,1562,9,190,239,0.124,0.6076059788763523,0.814,0.9851546786706254,394,0,93,13,0.026
bs64_lr0p0003_len1000_seed42,42,64,0.0003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",25,finetune/models/bs64_lr0p0003_len1000_seed42.pth,0.1825666259762511,0.9365,0.9623997898981986,1521,50,77,352,0.201,0.1299335506684147,0.952,0.9894520052322507,412,1,23,64,0.13
bs64_lr0p0003_len2048_seed42,42,64,0.0003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",26,finetune/models/bs64_lr0p0003_len2048_seed42.pth,0.13783630817622178,0.9495,0.9776440406612272,1514,57,44,385,0.221,0.03587635339063126,0.994,0.9995163760444934,406,3,0,91,0.188
bs64_lr0p0006_len512_seed42,42,64,0.0006,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",24,finetune/models/bs64_lr0p0006_len512_seed42.pth,0.1533895639954808,0.946,0.9729671983013802,1514,57,51,378,0.2175,0.23746758181788027,0.888,0.9881955751364812,394,0,56,50,0.1
bs64_lr0p0006_len1000_seed42,42,64,0.0006,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs64_lr0p0006_len1000_seed42.pth,0.15283432919237383,0.941,0.9767166845460926,1538,33,85,344,0.1885,0.04321690811752342,0.986,0.999888675516963,413,0,7,80,0.16
bs64_lr0p0006_len2048_seed42,42,64,0.0006,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune/models/bs64_lr0p0006_len2048_seed42.pth,0.14837527542977477,0.9485,0.9818846547045146,1567,4,99,330,0.167,0.03477871326543391,0.992,0.9998925280098875,408,1,3,88,0.178
bs128_lr0p0001_len512_seed42,42,128,0.0001,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",15,finetune/models/bs128_lr0p0001_len512_seed42.pth,0.612869108825922,0.7855,0.43516742116360196,1571,0,429,0,0.0,0.6176331578493118,0.788,0.4617134374102097,394,0,106,0,0.0
bs128_lr0p0001_len1000_seed42,42,128,0.0001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",23,finetune/models/bs128_lr0p0001_len1000_seed42.pth,0.626805936127901,0.7855,0.4533866303439823,1571,0,429,0,0.0,0.6200724872350692,0.826,0.4547048509643483,413,0,87,0,0.0
bs128_lr0p0001_len2048_seed42,42,128,0.0001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune/models/bs128_lr0p0001_len2048_seed42.pth,0.626701559305191,0.7855,0.45627775576852597,1571,0,429,0,0.0,0.6214669904708863,0.818,0.4272280286950214,409,0,91,0,0.0
bs128_lr0p0003_len512_seed42,42,128,0.0003,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs128_lr0p0003_len512_seed42.pth,0.15047194887895604,0.9445,0.977477858445395,1541,30,81,348,0.189,0.1853943962007761,0.92,0.9824489991380136,391,3,37,69,0.144
bs128_lr0p0003_len1000_seed42,42,128,0.0003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune/models/bs128_lr0p0003_len1000_seed42.pth,0.23381094171328004,0.904,0.9479790313654095,1459,112,80,349,0.2305,0.12244055452942848,0.942,0.997495199131669,413,0,29,58,0.116
bs128_lr0p0003_len2048_seed42,42,128,0.0003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",30,finetune/models/bs128_lr0p0003_len2048_seed42.pth,0.1305986013513757,0.956,0.9787746732367992,1542,29,59,370,0.1995,0.030829612344503404,0.996,0.9999462640049437,409,0,2,89,0.178
bs128_lr0p0006_len512_seed42,42,128,0.0006,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune/models/bs128_lr0p0006_len512_seed42.pth,0.13600570569359116,0.947,0.9834782234527619,1550,21,85,344,0.1825,0.18619046885240823,0.922,0.9935111579350637,394,0,39,67,0.134
bs128_lr0p0006_len1000_seed42,42,128,0.0006,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs128_lr0p0006_len1000_seed42.pth,0.15095548195470473,0.9455,0.9754258048338251,1515,56,53,376,0.216,0.08172037848364562,0.958,0.9999721688792408,413,0,21,66,0.132
bs128_lr0p0006_len2048_seed42,42,128,0.0006,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",19,finetune/models/bs128_lr0p0006_len2048_seed42.pth,0.1782381697485107,0.933,0.9653702970061977,1523,48,86,343,0.1955,0.05671604646858759,0.974,0.9988984121013461,407,2,11,80,0.164
bs256_lr0p0001_len512_seed42,42,256,0.0001,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",15,finetune/models/bs256_lr0p0001_len512_seed42.pth,0.6137427982091904,0.7855,0.44915195137983177,1571,0,429,0,0.0,0.6188958506584168,0.788,0.47657073077291445,394,0,106,0,0.0
bs256_lr0p0001_len1000_seed42,42,256,0.0001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",26,finetune/models/bs256_lr0p0001_len1000_seed42.pth,0.6218068863153458,0.7855,0.4473291401999231,1571,0,429,0,0.0,0.6163756521940231,0.826,0.45356377501321976,413,0,87,0,0.0
bs256_lr0p0001_len2048_seed42,42,256,0.0001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",9,finetune/models/bs256_lr0p0001_len2048_seed42.pth,0.6280593054592609,0.7855,0.4544579121281858,1571,0,429,0,0.0,0.6249298572540283,0.818,0.437410999758188,409,0,91,0,0.0
bs256_lr0p0003_len512_seed42,42,256,0.0003,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs256_lr0p0003_len512_seed42.pth,0.2531007163487375,0.927,0.9679387025026744,1469,102,44,385,0.2435,0.21352555618435146,0.906,0.9716741691408869,390,4,43,63,0.134
bs256_lr0p0003_len1000_seed42,42,256,0.0003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs256_lr0p0003_len1000_seed42.pth,0.18545881583658047,0.944,0.9665691829918437,1517,54,58,371,0.2125,0.09011295399721712,0.966,0.9961036430937074,412,1,16,71,0.144
bs256_lr0p0003_len2048_seed42,42,256,0.0003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",22,finetune/models/bs256_lr0p0003_len2048_seed42.pth,0.3600025928169489,0.8275,0.8918302151911317,1565,6,339,90,0.048,0.28100716388225555,0.826,0.9729707944866869,409,0,87,4,0.008
bs256_lr0p0006_len512_seed42,42,256,0.0006,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",24,finetune/models/bs256_lr0p0006_len512_seed42.pth,0.18603009850363014,0.934,0.9590939508189668,1506,65,67,362,0.2135,0.19463404397852718,0.916,0.983263097404463,393,1,41,65,0.132
bs256_lr0p0006_len1000_seed42,42,256,0.0006,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",26,finetune/models/bs256_lr0p0006_len1000_seed42.pth,0.17062976324360352,0.936,0.9836266004311834,1568,3,125,304,0.1535,0.0833547805286944,0.964,0.9999443377584815,413,0,18,69,0.138
bs256_lr0p0006_len2048_seed42,42,256,0.0006,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs256_lr0p0006_len2048_seed42.pth,0.17107657763511816,0.9425,0.9699150838552495,1535,36,79,350,0.193,0.05084492342639715,0.98,0.9991133560815713,408,1,9,82,0.166
bs64_lr0p001_len512_seed42,42,64,0.001,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",15,finetune/models/bs64_lr0p001_len512_seed42.pth,0.13108219781960362,0.952,0.9840316695822742,1560,11,85,344,0.1775,0.19260953416954726,0.914,0.991930849535485,394,0,43,63,0.126
bs64_lr0p001_len1000_seed42,42,64,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune/models/bs64_lr0p001_len1000_seed42.pth,0.11251367104100428,0.964,0.9848432916542401,1547,24,48,381,0.2025,0.08469283209554851,0.96,0.9991928974979822,413,0,20,67,0.134
bs64_lr0p001_len2048_seed42,42,64,0.001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",9,finetune/models/bs64_lr0p001_len2048_seed42.pth,0.17316900840189192,0.9435,0.9746186340712121,1568,3,110,319,0.161,0.0621440451182425,0.978,0.999811924017303,409,0,11,80,0.16
bs128_lr0p001_len512_seed42,42,128,0.001,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",27,finetune/models/bs128_lr0p001_len512_seed42.pth,0.1458677277720999,0.9495,0.9793904376972487,1548,23,78,351,0.187,0.30659920792654155,0.888,0.9873096446700508,394,0,56,50,0.1
bs128_lr0p001_len1000_seed42,42,128,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune/models/bs128_lr0p001_len1000_seed42.pth,0.21621065933676437,0.91,0.9617573175816333,1468,103,77,352,0.2275,0.06282762617524713,0.976,0.9994990398263338,413,0,12,75,0.15
bs128_lr0p001_len2048_seed42,42,128,0.001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs128_lr0p001_len2048_seed42.pth,0.12510327464799775,0.9595,0.9838892276829897,1558,13,68,361,0.187,0.0350482628660975,0.984,1.0,409,0,8,83,0.166
bs256_lr0p001_len512_seed42,42,256,0.001,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune/models/bs256_lr0p001_len512_seed42.pth,0.1514553848851647,0.953,0.9719730725459561,1550,21,73,356,0.1885,0.23213042031414807,0.904,0.984268748204195,393,1,47,59,0.12
bs256_lr0p001_len1000_seed42,42,256,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",26,finetune/models/bs256_lr0p001_len1000_seed42.pth,0.1269951019998407,0.9515,0.9835598307908938,1553,18,79,350,0.184,0.05061845008656383,0.978,0.9998051821546854,413,0,11,76,0.152
bs256_lr0p001_len2048_seed42,42,256,0.001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",19,finetune/models/bs256_lr0p001_len2048_seed42.pth,0.12194365146270138,0.96,0.982479646387985,1553,18,62,367,0.1925,0.04511342162080109,0.984,0.9988178081087618,408,1,7,84,0.17
bs512_lr0p001_len512_seed42,42,512,0.001,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",27,finetune/models/bs512_lr0p001_len512_seed42.pth,0.17229548752581467,0.931,0.9696999372365382,1518,53,85,344,0.1985,0.20334423251822592,0.904,0.9933914376017623,394,0,48,58,0.116
bs512_lr0p001_len1000_seed42,42,512,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",25,finetune/models/bs512_lr0p001_len1000_seed42.pth,0.19940864805559977,0.9145,0.9621015521715713,1467,104,67,362,0.233,0.06822243241313845,0.976,0.9994712087055746,413,0,12,75,0.15
bs512_lr0p001_len2048_seed42,42,512,0.001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",30,finetune/models/bs512_lr0p001_len2048_seed42.pth,0.18535695856604434,0.924,0.9688645748480249,1506,65,87,342,0.2035,0.04456107534165494,0.982,0.9995701120395497,409,0,9,82,0.164
bs512_lr0p0003_len512_seed42,42,512,0.0003,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",15,finetune/models/bs512_lr0p0003_len512_seed42.pth,0.6116130817830563,0.7855,0.44523850857396363,1571,0,429,0,0.0,0.6159008762836456,0.788,0.4651853270759506,394,0,106,0,0.0
bs512_lr0p0003_len1000_seed42,42,512,0.0003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",30,finetune/models/bs512_lr0p0003_len1000_seed42.pth,0.6106055316329002,0.7855,0.45951756709236025,1571,0,429,0,0.0,0.6026409361362457,0.826,0.47332387075227517,413,0,87,0,0.0
bs512_lr0p0003_len2048_seed42,42,512,0.0003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",30,finetune/models/bs512_lr0p0003_len2048_seed42.pth,0.6126704408228397,0.7855,0.4833098155822535,1571,0,429,0,0.0,0.6063437334299088,0.818,0.4955533464090921,409,0,91,0,0.0
bs512_lr0p0006_len512_seed42,42,512,0.0006,512,30,25600,2000,True,"(0.6, 0.1, 0.3)",30,finetune/models/bs512_lr0p0006_len512_seed42.pth,0.24881866221502424,0.889,0.9630704538406639,1386,185,37,392,0.2885,0.21436272747069599,0.91,0.9751460588066279,390,4,41,65,0.138
bs512_lr0p0006_len1000_seed42,42,512,0.0006,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs512_lr0p0006_len1000_seed42.pth,0.212223394760862,0.9215,0.9511498473942775,1504,67,90,339,0.203,0.11934864905104041,0.94,0.9982188082714091,413,0,30,57,0.114
bs512_lr0p0006_len2048_seed42,42,512,0.0006,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",26,finetune/models/bs512_lr0p0006_len2048_seed42.pth,0.20204791209142423,0.933,0.9591740743873144,1549,22,112,317,0.1695,0.08896866033039987,0.962,0.9983879201483113,409,0,19,72,0.144
bs256_lr0p003_len1000_seed42,42,256,0.003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune/models/bs256_lr0p003_len1000_seed42.pth,0.11831643113000609,0.9605,0.9849931524024459,1557,14,65,364,0.189,0.07592792778392322,0.97,0.9998051821546853,413,0,15,72,0.144
bs512_lr0p003_len1000_seed42,42,512,0.003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",30,finetune/models/bs512_lr0p003_len1000_seed42.pth,0.14083614023611882,0.9555,0.9786129423303198,1558,13,76,353,0.183,0.09280211735889315,0.95,0.9994712087055746,413,0,25,62,0.124
bs512_lr0p003_len2048_seed42,42,512,0.003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",20,finetune/models/bs512_lr0p003_len2048_seed42.pth,0.09572267347062734,0.9705,0.984780973323303,1560,11,48,381,0.196,0.02594230279373005,0.994,0.9995969800370779,406,3,0,91,0.188
