run_id,seed,batch_size,lr,sequence_length,num_epochs,dataset_size,val_size,include_mixed,probs,best_epoch,checkpoint_path,main_val_loss,main_val_acc,main_val_auc,main_val_tn,main_val_fp,main_val_fn,main_val_tp,main_val_pred_irregular_rate,small_val_loss,small_val_acc,small_val_auc,small_val_tn,small_val_fp,small_val_fn,small_val_tp,small_val_pred_irregular_rate,config_id,run_elapsed_wrapper_sec
bs256_lr0p003_len1000_seed11,11,256,0.003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune_stage2/models/bs256_lr0p003_len1000_seed11.pth,0.16713611119813868,0.928,0.976430316977739,1472,99,45,384,0.2415,0.05727487371582538,0.978,0.9993877153432968,413,0,11,76,0.152,bs256_lr0p003_len1000,795.2420394420624
bs256_lr0p003_len1000_seed24,24,256,0.003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune_stage2/models/bs256_lr0p003_len1000_seed24.pth,0.1358954062525654,0.954,0.9766558499849397,1539,32,60,369,0.2005,0.0945884168324992,0.956,0.9998608443962038,413,0,22,65,0.13,bs256_lr0p003_len1000,794.1041831970215
bs256_lr0p003_len1000_seed137,137,256,0.003,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",22,finetune_stage2/models/bs256_lr0p003_len1000_seed137.pth,0.12250761532542856,0.96,0.9820345154527205,1556,15,65,364,0.1895,0.10421446622739314,0.956,0.9990815730149453,413,0,22,65,0.13,bs256_lr0p003_len1000,794.9571707248688
bs64_lr0p001_len1000_seed11,11,64,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",30,finetune_stage2/models/bs64_lr0p001_len1000_seed11.pth,0.17802078457083553,0.934,0.9650216111069071,1531,40,92,337,0.1885,0.09979188189655543,0.954,0.9993042219810192,413,0,23,64,0.128,bs64_lr0p001_len1000,823.6384634971619
bs64_lr0p001_len1000_seed24,24,64,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",29,finetune_stage2/models/bs64_lr0p001_len1000_seed24.pth,0.10137718426375193,0.965,0.9862083598557182,1538,33,37,392,0.2125,0.050230929491808636,0.984,0.9995268709470931,413,0,8,79,0.158,bs64_lr0p001_len1000,916.8014228343964
bs64_lr0p001_len1000_seed137,137,64,0.001,1000,30,25600,2000,True,"(0.6, 0.1, 0.3)",25,finetune_stage2/models/bs64_lr0p001_len1000_seed137.pth,0.15552518803744017,0.9445,0.9775431443159005,1551,20,91,338,0.179,0.14460665708361192,0.926,0.9992763908602599,413,0,37,50,0.1,bs64_lr0p001_len1000,999.663731098175
bs512_lr0p003_len2048_seed11,11,512,0.003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",26,finetune_stage2/models/bs512_lr0p003_len2048_seed11.pth,0.597767782330513,0.7855,0.4428934104300113,1571,0,429,0,0.0,0.585749239563942,0.818,0.44535049302775465,409,0,91,0,0.0,bs512_lr0p003_len2048,1119.8795006275177
bs512_lr0p003_len2048_seed24,24,512,0.003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",28,finetune_stage2/models/bs512_lr0p003_len2048_seed24.pth,0.14812269206800194,0.95,0.9768190646612034,1545,26,74,355,0.1905,0.034366082599328364,0.988,0.9997581880222467,408,1,5,86,0.174,bs512_lr0p003_len2048,1212.901532649994
bs512_lr0p003_len2048_seed137,137,512,0.003,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",20,finetune_stage2/models/bs512_lr0p003_len2048_seed137.pth,0.34415398173654105,0.901,0.955795530588656,1571,0,198,231,0.1155,0.31689204487204553,0.866,0.9984416561433677,409,0,67,24,0.048,bs512_lr0p003_len2048,904.5907852649689
bs128_lr0p001_len2048_seed11,11,128,0.001,2048,30,25600,2000,True,"(0.6, 0.1, 0.3)",25,finetune_stage2/models/bs128_lr0p001_len2048_seed11.pth,0.5967092209011317,0.7855,0.48513633618662266,1571,0,429,0,0.0,0.5837160458564759,0.818,0.47948628388726183,409,0,91,0,0.0,bs128_lr0p001_len2048,916.0265717506409
